"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.312948906E0,9.691759944E-3,2.706679702E-2,3.076744080E-2,4.210910976E-2
1.317927500E0,-4.664480686E-3,3.076270223E-3,3.050994873E-2,3.101737884E-2
1.322906093E0,9.642198682E-3,2.682289481E-2,8.248996735E-2,8.727562314E-2
1.327863958E0,-9.356811643E-3,-1.966848969E-3,2.482032776E-2,2.659825350E-2
1.332841458E0,-3.785206378E-2,1.707331836E-2,-3.236961365E-2,5.265043988E-2
1.337819010E0,4.725903273E-4,1.690931618E-2,-3.684806824E-2,4.054538751E-2
1.342796562E0,3.874599934E-4,2.159819007E-2,-6.028366089E-2,6.403711197E-2
1.347775260E0,-1.389122009E-2,-6.990686059E-3,1.619529724E-2,2.245269115E-2
1.352752812E0,1.473782957E-2,-6.954923272E-3,6.354522705E-2,6.560160409E-2
1.357730416E0,-1.860110462E-2,2.681314945E-3,4.402351379E-2,4.786711094E-2
1.362708020E0,-1.847396791E-2,1.688039303E-2,3.890705109E-2,4.626006683E-2
1.367702656E0,-1.360160112E-2,-1.652230322E-2,5.941390991E-4,2.140894809E-2
1.372681093E0,-2.771142125E-2,2.632935345E-2,-4.214763641E-2,5.689974496E-2
1.377659531E0,-3.663420677E-3,-7.047444582E-3,-3.704547882E-2,3.788739404E-2
1.382638020E0,1.085639000E-3,-2.262711525E-3,-4.623508453E-2,4.630314803E-2
1.387621354E0,-3.544911742E-3,-1.171103120E-2,5.861949921E-2,5.988288853E-2
1.392600000E0,-1.768521965E-2,1.215805113E-2,2.964210510E-2,3.659562264E-2
1.397578697E0,-8.071884513E-3,-6.958961487E-3,1.039981842E-2,1.489089278E-2
1.402557447E0,1.106503606E-2,-1.652580500E-2,-2.767658234E-2,3.408123330E-2
1.407544010E0,-2.699281275E-2,-1.635824144E-2,-1.129179001E-1,1.172461350E-1
1.412523020E0,6.492853165E-3,-1.629590988E-2,-9.773254395E-2,9.929432998E-2
1.417502135E0,2.545399964E-2,-6.580248475E-3,-3.518581390E-2,4.392319738E-2
1.422481250E0,1.626268029E-3,7.749870420E-3,1.259517670E-2,1.487762465E-2
1.427426145E0,-3.060653806E-3,-2.077688277E-2,4.098320007E-2,4.605072364E-2
